,time,aX,aY,aZ,gX,gY,gZ
0,692,-11.667,-3.667,-31.667,-1.916,10.569,1.02
1,806,-5.667,-0.933,-21.667,-0.988,6.991,-0.131
2,918,-16.333,-3.733,6.0,1.299,-370.845,10.23
3,1031,0.0,-1.0,-1.333,0.215,-7.103,2.915
4,1143,0.0,-0.067,0.0,0.228,-12.267,4.481
5,1255,0.333,-0.067,-1.0,-0.019,0.103,-0.122
6,1368,0.0,0.067,0.0,0.013,-0.164,0.031
7,1481,0.333,0.0,0.0,-0.011,-0.06,-0.008
8,1593,0.333,0.0,0.0,0.01,0.103,0.003
9,1706,0.333,0.067,0.0,0.0,-0.164,-0.003
10,1818,0.333,0.067,0.333,0.004,0.052,-0.014
11,1931,0.0,0.0,0.0,0.0,0.0,-0.011
12,2043,0.333,0.0,0.0,0.002,-0.06,0.006
13,2164,0.0,0.067,0.0,0.012,0.052,0.0
14,2276,0.333,0.0,0.0,0.012,0.362,-0.011
15,2388,0.333,0.067,0.0,0.006,0.155,0.0
16,2500,-3.0,0.6,-11.333,-1.751,-36.207,1.753
17,2614,0.333,1.867,2.667,-1.025,-9.897,0.79
18,2726,0.0,-0.267,3.667,-0.851,14.362,-2.924
19,2838,-2.0,-1.333,-3.667,-2.052,9.621,-0.568
20,2951,-0.667,-2.467,0.667,-1.709,-0.845,0.989
