,Unnamed: 0,aX,aY,aZ,gX,gY,gZ
0,0,1.03,-0.33,-0.07,95.58,31.25,-0.12
1,1,1.02,-0.16,-0.06,84.11,15.62,-0.12
2,2,1.12,-0.1,-0.02,80.57,46.88,-0.12
3,3,1.06,-0.09,-0.01,60.61,46.88,-0.12
4,4,1.1,-0.13,-0.01,48.89,46.88,-0.12
5,5,1.14,-0.18,-0.01,41.56,31.25,-0.12
6,6,1.23,-0.2,-0.03,33.57,31.25,-0.18
7,7,1.28,-0.2,-0.01,33.26,46.88,-0.18
8,8,1.32,-0.13,-0.01,31.31,46.88,-0.18
9,9,1.33,-0.05,-0.03,28.81,46.88,-0.18
10,10,1.31,0.01,-0.02,24.35,62.5,-0.18
11,11,1.27,0.07,-0.02,19.78,62.5,-0.18
12,12,1.24,0.08,-0.01,13.79,62.5,-0.18
13,13,1.21,0.07,-0.0,6.9,62.5,-0.18
14,14,1.19,0.08,0.02,2.26,46.88,-0.18
15,15,1.18,0.07,0.05,-0.85,46.88,-0.18
16,16,1.19,0.07,0.07,-4.64,46.88,-0.18
17,17,1.16,0.08,0.08,-8.91,46.88,-0.18
18,18,1.13,0.09,0.08,-14.1,46.88,-0.18
19,19,1.08,0.11,0.07,-19.29,46.88,-0.18
20,20,1.03,0.12,0.07,-24.84,46.88,-0.18
21,21,0.99,0.12,0.06,-30.52,31.25,-0.18
22,22,0.97,0.12,0.05,-37.11,31.25,-0.18
23,23,1.0,0.13,0.05,-41.5,31.25,-0.18
24,24,1.04,0.15,0.06,-45.96,15.62,-0.18
25,25,1.1,0.17,0.08,-49.26,15.62,-0.18
26,26,1.14,0.21,0.09,-53.16,15.62,-0.18
27,27,1.16,0.24,0.11,-57.31,15.62,-0.18
28,28,1.16,0.26,0.12,-60.06,15.62,-0.18
29,29,1.11,0.25,0.13,-63.78,15.62,-0.18
30,30,1.05,0.21,0.14,-67.02,15.62,-0.18
31,31,0.98,0.15,0.15,-64.21,15.62,-0.18
32,32,0.93,0.06,0.13,-57.98,15.62,-0.18
33,33,0.89,-0.0,0.13,-49.13,15.62,-0.18
34,34,0.87,-0.04,0.13,-36.8,15.62,-0.18
35,35,0.86,-0.06,0.12,-25.27,0.0,-0.18
36,36,0.86,-0.04,0.1,-15.81,0.0,-0.18
37,37,0.88,0.0,0.08,-5.8,0.0,-0.18
38,38,0.87,0.05,0.06,3.91,0.0,-0.18
39,39,0.87,0.07,0.03,12.02,0.0,-0.18
40,40,0.85,0.07,0.01,19.78,0.0,-0.24
41,41,0.83,0.05,-0.01,24.96,0.0,-0.24
42,42,0.81,0.01,-0.03,30.58,0.0,-0.24
43,43,0.8,-0.02,-0.04,35.64,-15.62,-0.24
44,44,0.8,-0.05,-0.07,38.33,-15.62,-0.24
45,45,0.81,-0.07,-0.07,39.86,-15.62,-0.24
46,46,0.85,-0.08,-0.07,39.55,-31.25,-0.24
47,47,0.9,-0.1,-0.07,36.07,-31.25,-0.24
48,48,0.96,-0.11,-0.07,31.98,-31.25,-0.24
49,49,1.01,-0.13,-0.07,25.94,-31.25,-0.24
50,50,1.05,-0.13,-0.06,18.62,-31.25,-0.24
51,51,1.08,-0.14,-0.06,10.86,-31.25,-0.24
52,52,1.11,-0.15,-0.06,2.75,-31.25,-0.24
53,53,1.13,-0.13,-0.11,-14.83,-31.25,-0.24
54,54,1.15,-0.1,-0.12,-34.85,-31.25,-0.24
55,55,1.2,-0.03,-0.15,-68.18,-31.25,-0.24
56,56,1.67,1.17,-1.35,-521.67,15.62,-0.24
57,57,1.35,-0.59,0.91,-229.61,125.0,-0.24
58,58,0.61,-2.49,0.18,57.37,0.0,-0.24
59,59,0.76,-2.33,-0.35,-105.65,0.0,-0.24
60,60,0.91,-1.31,-0.06,-21.61,-31.25,-0.24
61,61,1.07,-0.36,0.09,101.14,0.0,-0.24
62,62,1.13,0.23,-0.05,150.33,15.62,-0.24
63,63,1.25,0.37,-0.15,96.07,31.25,-0.24
64,64,1.29,0.32,-0.05,30.21,46.88,-0.24
65,65,1.17,0.14,-0.34,-59.57,31.25,-0.24
66,66,1.04,-0.16,-0.55,-153.81,-31.25,-0.24
67,67,1.16,-0.7,-0.15,-134.22,-93.75,-0.24
68,68,1.5,-1.04,0.02,-39.79,-46.88,-0.24
69,69,1.5,-0.89,-0.32,-10.93,31.25,-0.24
70,70,1.3,-0.54,-0.05,16.78,62.5,-0.24
71,71,0.93,-0.5,-0.18,21.06,31.25,-0.24
72,72,0.93,-0.42,-0.2,28.75,31.25,-0.24
73,73,0.88,-0.45,-0.21,32.96,15.62,-0.31
74,74,0.88,-0.46,-0.19,31.8,15.62,-0.31
75,75,0.93,-0.45,-0.2,35.4,15.62,-0.31
76,76,0.9,-0.41,-0.21,31.37,0.0,-0.31
77,77,0.99,-0.39,-0.23,27.34,0.0,-0.31
78,78,1.0,-0.43,-0.22,26.43,0.0,-0.31
79,79,1.05,-0.5,-0.19,33.14,15.62,-0.31
80,80,0.98,-0.49,-0.18,34.85,0.0,-0.31
81,81,1.05,-0.45,-0.21,37.84,15.62,-0.31
82,82,1.07,-0.47,-0.21,41.81,15.62,-0.31
83,83,1.1,-0.48,-0.18,47.73,15.62,-0.31
84,84,1.04,-0.56,-0.3,67.14,15.62,-0.31
85,85,1.05,-0.63,-0.02,80.51,15.62,-0.31
86,86,1.0,-0.65,-0.21,119.38,15.62,-0.31
87,87,1.0,-0.7,-0.17,135.93,15.62,-0.31
88,88,1.03,-0.59,-0.12,157.41,15.62,-0.31
89,89,1.04,-0.46,-0.15,168.95,15.62,-0.31
90,90,1.06,-0.25,-0.18,157.96,15.62,-0.31
91,91,1.02,-0.07,-0.24,85.94,15.62,-0.31
92,92,0.99,-0.15,-0.23,59.45,31.25,-0.31
93,93,0.95,-0.3,-0.22,44.98,31.25,-0.31
94,94,0.92,-0.4,-0.2,44.31,31.25,-0.31
95,95,0.9,-0.45,-0.19,50.72,31.25,-0.31
96,96,0.9,-0.41,-0.2,55.91,31.25,-0.31
97,97,0.9,-0.33,-0.21,51.21,31.25,-0.31
98,98,0.88,-0.23,-0.26,32.78,31.25,-0.31
99,99,0.85,-0.2,-0.29,6.84,31.25,-0.31
100,100,0.82,-0.23,-0.29,-19.35,15.62,-0.31
101,101,0.8,-0.31,-0.27,-32.53,15.62,-0.31
102,102,0.8,-0.41,-0.25,-31.62,15.62,-0.31
103,103,0.82,-0.53,-0.21,-16.85,0.0,-0.31
104,104,0.84,-0.6,-0.2,5.0,0.0,-0.31
105,105,0.88,-0.61,-0.19,28.08,0.0,-0.31
106,106,0.91,-0.56,-0.19,46.63,0.0,-0.37
107,107,0.93,-0.5,-0.2,60.06,0.0,-0.37
108,108,0.95,-0.47,-0.2,67.63,0.0,-0.37
109,109,0.99,-0.44,-0.18,71.04,0.0,-0.37
110,110,1.01,-0.42,-0.18,70.56,0.0,-0.37
111,111,1.04,-0.39,-0.19,67.87,0.0,-0.37
112,112,1.07,-0.37,-0.17,63.48,0.0,-0.37
113,113,1.09,-0.37,-0.14,59.27,15.62,-0.37
114,114,1.1,-0.37,-0.12,54.14,15.62,-0.37
115,115,1.11,-0.36,-0.11,50.48,15.62,-0.37
116,116,1.2,-0.35,-0.11,44.62,15.62,-0.37
117,117,1.26,-0.35,-0.12,40.83,15.62,-0.37
118,118,1.32,-0.35,-0.13,37.35,15.62,-0.37
119,119,1.36,-0.35,-0.14,35.46,15.62,-0.37
120,120,1.36,-0.36,-0.11,34.55,31.25,-0.37
121,121,1.33,-0.35,-0.09,34.79,31.25,-0.37
122,122,1.28,-0.33,-0.08,36.38,46.88,-0.37
123,123,1.21,-0.3,-0.06,35.95,46.88,-0.37
124,124,1.15,-0.26,-0.04,33.81,46.88,-0.37
125,125,1.11,-0.21,-0.02,31.37,31.25,-0.37
126,126,1.12,-0.18,-0.01,25.94,31.25,-0.37
127,127,1.12,-0.15,-0.03,18.25,31.25,-0.37
128,128,1.14,-0.14,-0.02,11.41,31.25,-0.37
129,129,1.13,-0.09,-0.09,1.04,31.25,-0.37
130,130,1.12,-0.07,-0.14,-4.64,31.25,-0.37
131,131,1.12,-0.04,-0.15,-12.88,31.25,-0.37
132,132,1.13,-0.01,-0.16,-21.55,15.62,-0.37
133,133,1.3,-0.03,-0.08,-60.42,15.62,-0.37
134,134,1.33,-0.02,-0.06,-62.56,15.62,-0.37
135,135,1.34,-0.01,-0.06,-62.5,15.62,-0.37
136,136,1.32,-0.02,-0.04,-60.67,15.62,-0.43
137,137,1.3,-0.05,-0.04,-57.92,15.62,-0.43
138,138,1.27,-0.07,-0.03,-54.75,15.62,-0.43
139,139,1.26,-0.08,-0.03,-50.17,15.62,-0.43
140,140,1.26,-0.08,-0.02,-45.41,15.62,-0.43
141,141,1.25,-0.08,-0.0,-41.69,15.62,-0.43
142,142,1.22,-0.08,0.01,-39.06,31.25,-0.43
143,143,1.19,-0.08,0.01,-37.17,31.25,-0.43
144,144,1.13,-0.06,0.0,-34.67,46.88,-0.43
145,145,1.04,-0.04,-0.0,-31.01,46.88,-0.43
146,146,0.96,-0.02,-0.0,-27.53,46.88,-0.43
147,147,0.88,0.0,-0.04,-25.94,46.88,-0.43
148,148,0.82,0.01,-0.07,-23.68,46.88,-0.43
149,149,0.78,0.02,-0.1,-21.18,31.25,-0.43
150,150,0.75,0.01,-0.15,-18.62,31.25,-0.43
151,151,0.73,0.01,-0.17,-16.72,31.25,-0.43
152,152,0.72,0.02,-0.18,-15.08,31.25,-0.43
153,153,0.71,0.02,-0.18,-14.16,15.62,-0.43
154,154,0.71,0.03,-0.18,-14.04,15.62,-0.43
155,155,0.71,0.05,-0.17,-13.0,15.62,-0.43
156,156,0.69,0.05,-0.16,-12.94,15.62,-0.43
157,157,0.7,0.03,-0.15,-14.59,15.62,-0.43
158,158,0.71,-0.0,-0.13,-14.71,15.62,-0.43
159,159,0.73,-0.03,-0.12,-14.83,15.62,-0.43
160,160,0.78,-0.06,-0.11,-13.85,15.62,-0.43
161,161,0.84,-0.07,-0.11,-12.51,15.62,-0.43
162,162,0.89,-0.07,-0.11,-11.54,15.62,-0.43
163,163,0.94,-0.06,-0.11,-12.94,15.62,-0.43
164,164,0.96,-0.06,-0.1,-15.44,15.62,-0.43
165,165,0.98,-0.05,-0.1,-20.08,31.25,-0.43
166,166,0.98,-0.05,-0.08,-26.06,31.25,-0.43
167,167,0.99,-0.05,-0.08,-32.84,31.25,-0.43
168,168,1.0,-0.06,-0.07,-40.22,31.25,-0.43
169,169,1.03,-0.08,-0.04,-47.61,31.25,-0.43
170,170,1.05,-0.11,-0.03,-55.18,31.25,-0.49
171,171,1.09,-0.13,0.03,-62.32,31.25,-0.49
172,172,1.11,-0.17,0.05,-65.25,31.25,-0.49
173,173,1.12,-0.21,0.04,-65.19,31.25,-0.49
174,174,1.12,-0.26,0.01,-60.18,31.25,-0.49
175,175,1.1,-0.31,-0.01,-53.1,31.25,-0.49
176,176,1.07,-0.33,-0.03,-43.82,31.25,-0.49
177,177,1.04,-0.35,-0.06,-32.41,31.25,-0.49
178,178,1.0,-0.36,-0.07,-18.37,31.25,-0.49
179,179,0.99,-0.37,-0.08,-3.6,15.62,-0.49
180,180,1.02,-0.37,-0.08,12.94,0.0,-0.49
181,181,1.08,-0.37,-0.08,29.85,0.0,-0.49
182,182,1.15,-0.36,-0.07,47.85,-15.62,-0.49
183,183,1.23,-0.38,-0.09,67.87,-15.62,-0.49
184,184,1.26,-0.39,-0.11,88.56,-15.62,-0.49
185,185,1.28,-0.42,-0.14,109.68,-15.62,-0.49
186,186,1.25,-0.43,-0.17,129.76,-31.25,-0.49
187,187,1.19,-0.44,-0.19,148.19,-31.25,-0.49
188,188,1.11,-0.44,-0.2,164.92,-31.25,-0.49
189,189,1.04,-0.43,-0.2,177.25,-31.25,-0.49
190,190,0.98,-0.4,-0.21,185.91,-31.25,-0.49
191,191,0.94,-0.37,-0.2,191.59,-46.88,-0.49
192,192,0.91,-0.33,-0.19,192.5,-46.88,-0.49
193,193,0.88,-0.28,-0.17,190.67,-46.88,-0.49
194,194,0.88,-0.16,-0.17,159.97,-62.5,-0.49
195,195,0.91,-0.15,-0.2,147.64,-78.12,-0.49
196,196,0.96,-0.14,-0.22,134.16,-78.12,-0.49
197,197,1.02,-0.16,-0.25,120.61,-62.5,-0.49
198,198,1.07,-0.18,-0.27,108.34,-62.5,-0.49
199,199,1.11,-0.2,-0.28,94.73,-62.5,-0.49
200,200,1.14,-0.22,-0.29,81.48,-46.88,-0.49
201,201,1.16,-0.22,-0.28,65.92,-46.88,-0.55
202,202,1.17,-0.21,-0.28,47.42,-31.25,-0.55
203,203,1.17,-0.21,-0.27,32.1,-31.25,-0.55
204,204,1.16,-0.21,-0.27,12.27,-15.62,-0.55
205,205,1.14,-0.2,-0.26,-7.32,0.0,-0.55
206,206,1.12,-0.19,-0.25,-27.4,0.0,-0.55
207,207,1.1,-0.19,-0.25,-47.97,0.0,-0.55
208,208,1.09,-0.19,-0.24,-68.6,15.62,-0.55
209,209,1.07,-0.19,-0.23,-89.23,15.62,-0.55
210,210,1.04,-0.18,-0.2,-114.01,15.62,-0.55
211,211,1.01,-0.17,-0.16,-133.36,31.25,-0.55
212,212,0.96,-0.16,-0.15,-155.58,31.25,-0.55
213,213,0.92,-0.17,-0.15,-175.96,31.25,-0.55
214,214,0.89,-0.19,-0.17,-197.45,31.25,-0.55
215,215,0.88,-0.21,-0.18,-215.88,15.62,-0.55
216,216,0.89,-0.24,-0.18,-230.9,15.62,-0.55
217,217,0.9,-0.26,-0.2,-241.7,15.62,-0.55
218,218,0.93,-0.29,-0.22,-249.94,15.62,-0.55
219,219,0.96,-0.34,-0.23,-256.47,0.0,-0.55
220,220,0.98,-0.37,-0.25,-259.89,0.0,-0.55
221,221,0.97,-0.4,-0.25,-260.19,0.0,-0.55
222,222,0.96,-0.43,-0.26,-255.25,0.0,-0.55
223,223,0.94,-0.44,-0.25,-245.91,0.0,-0.55
224,224,0.93,-0.46,-0.24,-233.09,0.0,-0.55
225,225,0.93,-0.47,-0.23,-220.09,-15.62,-0.55
226,226,0.95,-0.49,-0.2,-191.47,-15.62,-0.55
227,227,0.99,-0.51,-0.2,-178.53,-15.62,-0.55
228,228,1.02,-0.52,-0.2,-166.69,-15.62,-0.55
229,229,1.05,-0.53,-0.2,-156.8,-15.62,-0.55
230,230,1.06,-0.55,-0.2,-147.95,-15.62,-0.55
231,231,1.06,-0.56,-0.19,-137.63,-15.62,-0.55
232,232,1.04,-0.58,-0.19,-127.75,-15.62,-0.55
233,233,1.03,-0.6,-0.22,-114.62,-15.62,-0.55
234,234,1.03,-0.6,-0.24,-100.46,-15.62,-0.61
235,235,1.03,-0.59,-0.24,-86.85,-15.62,-0.61
236,236,1.03,-0.58,-0.23,-73.85,-15.62,-0.61
237,237,1.01,-0.61,-0.26,-53.96,-15.62,-0.61
238,238,1.0,-0.64,-0.28,-36.74,-15.62,-0.61
239,239,0.98,-0.67,-0.3,-12.21,-15.62,-0.61
240,240,0.98,-0.67,-0.32,9.28,-15.62,-0.61
241,241,1.01,-0.62,-0.33,27.53,-15.62,-0.61
242,242,1.04,-0.56,-0.32,41.5,-15.62,-0.61
243,243,1.11,-0.42,-0.38,61.95,-31.25,-0.61
244,244,1.19,-0.59,-0.22,65.0,-31.25,-0.61
245,245,1.29,-0.45,-0.2,76.78,-31.25,-0.61
246,246,1.39,-0.33,-0.29,73.3,-31.25,-0.61
247,247,1.39,-0.26,-0.26,34.91,0.0,-0.61
248,248,1.18,-0.3,-0.22,16.91,15.62,-0.61
249,249,1.11,-0.3,-0.21,11.6,15.62,-0.61
250,250,1.07,-0.3,-0.19,8.73,0.0,-0.61
251,251,1.07,-0.29,-0.18,6.29,0.0,-0.61
252,252,1.13,-0.28,-0.15,5.0,-15.62,-0.61
253,253,1.21,-0.28,-0.12,5.25,-15.62,-0.61
254,254,1.31,-0.27,-0.1,6.84,-15.62,-0.61
255,255,1.43,-0.27,-0.07,10.74,-31.25,-0.61
256,256,1.53,-0.26,-0.04,15.38,-15.62,-0.61
257,257,1.61,-0.26,-0.01,20.75,-15.62,-0.61
258,258,1.66,-0.24,0.0,26.73,0.0,-0.61
259,259,1.67,-0.21,0.0,32.53,15.62,-0.61
260,260,1.62,-0.16,-0.01,38.21,15.62,-0.61
261,261,1.53,-0.09,-0.02,42.97,31.25,-0.61
262,262,1.42,-0.0,-0.02,46.57,31.25,-0.61
263,263,1.3,0.08,-0.02,47.67,46.88,-0.61
264,264,1.2,0.15,-0.04,44.98,46.88,-0.67
265,265,1.1,0.19,-0.04,37.72,46.88,-0.67
266,266,1.02,0.21,-0.04,28.69,46.88,-0.67
267,267,0.91,0.22,-0.03,18.62,46.88,-0.67
268,268,0.83,0.19,-0.03,12.94,46.88,-0.67
269,269,0.76,0.15,-0.06,2.2,46.88,-0.67
270,270,0.72,0.14,-0.04,-0.55,46.88,-0.67
271,271,0.68,0.12,-0.03,-4.03,31.25,-0.67
272,272,0.67,0.11,-0.06,-5.92,31.25,-0.67
273,273,0.65,0.12,-0.07,-7.45,31.25,-0.67
274,274,0.64,0.21,-0.11,-8.79,15.62,-0.67
275,275,0.63,0.23,-0.12,-7.14,15.62,-0.67
276,276,0.63,0.24,-0.12,-5.92,15.62,-0.67
277,277,0.63,0.22,-0.13,-4.94,15.62,-0.67
278,278,0.64,0.17,-0.13,-4.82,0.0,-0.67
279,279,0.67,0.13,-0.12,-4.52,0.0,-0.67
280,280,0.72,0.09,-0.11,-4.33,0.0,-0.67
281,281,0.78,0.07,-0.07,-4.33,0.0,-0.67
282,282,0.85,0.06,-0.03,-4.88,0.0,-0.67
283,283,0.9,0.05,-0.01,-4.88,0.0,-0.67
284,284,0.94,0.05,-0.0,-6.04,0.0,-0.67
285,285,0.97,0.03,0.01,-6.47,0.0,-0.67
286,286,0.99,0.02,0.0,-6.96,0.0,-0.67
287,287,1.02,0.0,-0.0,-6.84,0.0,-0.67
288,288,1.05,-0.01,-0.01,-5.37,0.0,-0.67
289,289,1.09,-0.02,-0.01,-5.68,0.0,-0.67
290,290,1.13,-0.03,0.0,-5.31,0.0,-0.67
291,291,1.17,-0.03,0.01,-6.35,0.0,-0.67
292,292,1.2,-0.05,0.02,-6.96,0.0,-0.67
293,293,1.23,-0.07,0.04,-7.87,0.0,-0.67
294,294,1.27,-0.1,0.05,-8.91,15.62,-0.67
295,295,1.33,-0.14,0.06,-9.52,15.62,-0.67
296,296,1.36,-0.18,0.07,-11.23,15.62,-0.67
297,297,1.39,-0.22,0.05,-11.35,15.62,-0.73
298,298,1.4,-0.28,0.03,-9.34,15.62,-0.73
299,299,1.39,-0.32,0.01,-6.41,15.62,-0.73
300,300,1.35,-0.36,-0.02,-1.95,31.25,-0.73
301,301,1.29,-0.38,-0.05,3.91,31.25,-0.73
302,302,1.21,-0.38,-0.06,9.7,31.25,-0.73
303,303,1.14,-0.37,-0.08,13.92,31.25,-0.73
304,304,1.09,-0.35,-0.09,15.87,15.62,-0.73
305,305,1.05,-0.31,-0.1,15.44,15.62,-0.73
306,306,1.05,-0.28,-0.08,13.67,0.0,-0.73
307,307,1.08,-0.25,-0.08,9.58,-15.62,-0.73
308,308,1.17,-0.24,-0.08,4.58,-15.62,-0.73
309,309,1.28,-0.25,-0.09,0.61,-31.25,-0.73
310,310,1.38,-0.26,-0.12,-2.75,-31.25,-0.73
311,311,1.45,-0.32,-0.15,-5.13,-31.25,-0.73
312,312,1.46,-0.37,-0.18,-4.46,-15.62,-0.73
313,313,1.41,-0.42,-0.22,-2.75,-15.62,-0.73
314,314,1.22,-0.47,-0.25,5.98,0.0,-0.73
315,315,1.15,-0.46,-0.25,10.5,-15.62,-0.73
316,316,1.09,-0.45,-0.23,14.22,-15.62,-0.73
317,317,1.07,-0.45,-0.22,18.8,-31.25,-0.73
318,318,1.07,-0.45,-0.21,23.38,-31.25,-0.73
319,319,1.08,-0.45,-0.21,28.08,-31.25,-0.73
320,320,1.1,-0.46,-0.22,34.06,-31.25,-0.73
321,321,1.12,-0.47,-0.24,39.55,-31.25,-0.73
322,322,1.13,-0.48,-0.28,43.58,-31.25,-0.73
323,323,1.13,-0.49,-0.29,47.55,-31.25,-0.73
324,324,1.13,-0.49,-0.32,49.87,-31.25,-0.73
325,325,1.07,-0.48,-0.33,45.9,-15.62,-0.73
326,326,0.99,-0.41,-0.28,25.57,0.0,-0.73
327,327,0.97,-0.38,-0.27,12.08,0.0,-0.73
328,328,0.95,-0.36,-0.25,-5.37,0.0,-0.79
329,329,0.95,-0.35,-0.24,-23.07,0.0,-0.79
330,330,0.96,-0.35,-0.25,-40.16,0.0,-0.79
331,331,0.97,-0.37,-0.26,-58.04,0.0,-0.79
332,332,0.99,-0.39,-0.27,-69.03,0.0,-0.79
333,333,0.99,-0.42,-0.28,-77.88,0.0,-0.79
334,334,0.98,-0.44,-0.29,-85.02,0.0,-0.79
335,335,0.96,-0.46,-0.29,-90.94,15.62,-0.79
336,336,0.94,-0.48,-0.28,-93.69,15.62,-0.79
337,337,0.91,-0.49,-0.27,-93.87,15.62,-0.79
338,338,0.9,-0.53,-0.27,-91.92,0.0,-0.79
339,339,0.9,-0.56,-0.26,-86.55,0.0,-0.79
340,340,0.91,-0.6,-0.26,-76.29,0.0,-0.79
341,341,0.92,-0.63,-0.26,-63.42,0.0,-0.79
342,342,0.94,-0.65,-0.27,-46.57,0.0,-0.79
343,343,0.94,-0.66,-0.28,-27.71,0.0,-0.79
344,344,0.93,-0.66,-0.28,-8.3,0.0,-0.79
345,345,0.92,-0.66,-0.28,9.95,0.0,-0.79
346,346,0.91,-0.65,-0.28,23.93,0.0,-0.79
347,347,0.91,-0.63,-0.28,36.19,0.0,-0.79
348,348,0.92,-0.6,-0.29,44.43,-15.62,-0.79
349,349,0.95,-0.56,-0.3,50.66,-15.62,-0.79
350,350,0.98,-0.55,-0.32,53.59,-15.62,-0.79
351,351,1.02,-0.54,-0.32,55.97,-15.62,-0.79
352,352,1.11,-0.52,-0.33,58.59,-15.62,-0.79
353,353,1.16,-0.5,-0.31,59.88,-15.62,-0.79
354,354,1.2,-0.49,-0.31,59.88,0.0,-0.79
355,355,1.25,-0.46,-0.29,60.12,0.0,-0.79
356,356,1.28,-0.43,-0.29,58.35,0.0,-0.79
357,357,1.32,-0.4,-0.3,54.14,0.0,-0.79
358,358,1.35,-0.37,-0.29,49.19,0.0,-0.79
359,359,1.37,-0.34,-0.29,41.26,15.62,-0.79
360,360,1.38,-0.3,-0.28,31.62,15.62,-0.79
361,361,1.38,-0.27,-0.27,17.15,15.62,-0.79
362,362,1.36,-0.23,-0.25,1.53,31.25,-0.85
363,363,1.36,-0.19,-0.24,-17.64,31.25,-0.85
364,364,1.34,-0.31,-0.11,-1.46,31.25,-0.85
365,365,1.33,-0.18,-0.45,-44.31,15.62,-0.85
366,366,1.45,-0.36,-0.09,-52.92,15.62,-0.85
367,367,1.5,-0.28,-0.15,-53.83,15.62,-0.85
368,368,1.5,-0.27,-0.21,-70.13,31.25,-0.85
369,369,1.43,-0.32,-0.14,-76.84,31.25,-0.85
370,370,1.34,-0.31,-0.17,-83.92,46.88,-0.85
371,371,1.25,-0.3,-0.16,-88.56,46.88,-0.85
372,372,1.16,-0.3,-0.11,-92.53,31.25,-0.85
373,373,1.15,-0.28,-0.08,-95.4,15.62,-0.85
374,374,1.2,-0.26,-0.05,-98.75,0.0,-0.85
375,375,1.45,-0.26,0.01,-104.68,-15.62,-0.85
376,376,1.72,-0.26,0.05,-96.37,-15.62,-0.85
377,377,1.8,-0.25,0.03,-86.06,-15.62,-0.85
378,378,1.85,-0.24,0.01,-71.17,0.0,-0.85
379,379,1.86,-0.2,-0.0,-53.34,0.0,-0.85
380,380,1.82,-0.16,0.01,-36.93,15.62,-0.85
381,381,1.71,-0.06,0.08,-25.33,31.25,-0.85
382,382,1.57,0.05,0.11,-18.55,46.88,-0.85
383,383,1.41,0.16,0.12,-15.93,46.88,-0.85
384,384,1.29,0.23,0.14,-18.43,46.88,-0.85
385,385,1.16,0.28,0.13,-26.31,62.5,-0.85
386,386,1.07,0.29,0.13,-36.01,46.88,-0.85
387,387,0.98,0.32,0.1,-43.64,46.88,-0.85
388,388,0.92,0.34,0.07,-47.12,46.88,-0.85
389,389,0.87,0.35,0.05,-49.13,46.88,-0.85
390,390,0.84,0.35,0.03,-47.06,46.88,-0.85
391,391,0.84,0.32,0.0,-43.27,31.25,-0.85
392,392,0.82,0.33,-0.01,-37.35,31.25,-0.85
393,393,0.8,0.34,-0.03,-26.18,31.25,-0.85
394,394,0.74,0.34,-0.08,-0.18,31.25,-0.92
395,395,0.71,0.33,-0.09,12.88,31.25,-0.92
396,396,0.67,0.3,-0.09,26.0,15.62,-0.92
397,397,0.67,0.26,-0.1,38.82,15.62,-0.92
398,398,0.67,0.23,-0.09,49.62,15.62,-0.92
399,399,0.71,0.21,-0.07,65.61,0.0,-0.92
400,400,0.73,0.21,-0.06,68.85,0.0,-0.92
401,401,0.75,0.2,-0.05,68.54,0.0,-0.92
402,402,0.76,0.19,-0.04,66.04,0.0,-0.92
403,403,0.78,0.16,-0.04,60.55,0.0,-0.92
404,404,0.8,0.13,-0.03,53.89,0.0,-0.92
405,405,0.83,0.09,-0.05,45.65,-15.62,-0.92
406,406,0.87,0.06,-0.05,37.48,-15.62,-0.92
407,407,0.98,0.01,-0.03,19.59,-15.62,-0.92
408,408,1.04,-0.02,-0.02,8.79,-15.62,-0.92
409,409,1.1,-0.03,-0.01,-0.85,-15.62,-0.92
410,410,1.18,-0.06,0.01,-8.73,-15.62,-0.92
411,411,1.25,-0.09,0.02,-16.42,-15.62,-0.92
412,412,1.35,-0.14,0.02,-20.81,-15.62,-0.92
413,413,1.43,-0.2,0.02,-22.46,-15.62,-0.92
414,414,1.49,-0.25,0.02,-20.45,0.0,-0.92
415,415,1.52,-0.34,-0.0,-10.99,0.0,-0.92
416,416,1.5,-0.38,-0.03,-2.26,15.62,-0.92
417,417,1.46,-0.42,-0.07,9.77,15.62,-0.92
418,418,1.34,-0.32,-0.26,-8.06,15.62,-0.92
419,419,1.56,0.27,-0.74,-191.41,0.0,-0.92
420,420,1.43,0.05,0.1,-106.75,62.5,-0.92
421,421,1.25,-0.99,0.07,48.89,31.25,-0.92
422,422,1.31,-0.62,0.11,70.13,46.88,-0.92
423,423,1.16,0.27,-0.36,23.68,0.0,-0.92
424,424,1.23,0.37,-0.75,-115.17,-78.12,-0.98
425,425,1.72,-0.37,-0.03,-86.12,-78.12,-0.98
426,426,2.04,-0.9,0.07,15.81,-31.25,-0.98
427,427,1.64,-0.3,-0.24,-42.6,31.25,-0.98
428,428,1.55,-0.62,-0.24,-40.89,78.12,-0.98
429,429,1.29,-0.66,-0.14,-33.39,62.5,-0.98
430,430,1.25,-0.52,-0.13,-28.14,62.5,-0.98
431,431,1.1,-0.77,-0.1,10.86,31.25,-0.98
432,432,1.12,-0.74,-0.09,37.72,15.62,-0.98
433,433,1.15,-0.66,-0.15,55.54,0.0,-0.98
434,434,1.24,-0.6,-0.11,69.7,0.0,-0.98
435,435,1.28,-0.37,-0.27,51.51,0.0,-0.98
436,436,1.33,-0.22,-0.34,10.62,0.0,-0.98
437,437,1.36,-0.3,-0.32,-22.46,15.62,-0.98
438,438,1.32,-0.48,-0.32,-44.25,15.62,-0.98
439,439,1.23,-0.7,-0.25,-41.81,31.25,-0.98
440,440,1.17,-0.83,-0.21,-26.86,31.25,-0.98
441,441,1.11,-0.85,-0.21,-6.53,31.25,-0.98
442,442,1.02,-0.63,-0.21,2.2,31.25,-0.98
443,443,0.97,-0.53,-0.26,-13.98,31.25,-0.98
444,444,0.88,-0.53,-0.27,-35.46,31.25,-0.98
