,time,aX,aY,aZ,gX,gY,gZ
0,947.0,-0.95,-0.49,0.13,96.07,-62.5,-0.18
1,956.0,-0.95,-0.5,0.23,94.54,-93.75,-0.18
2,961.0,-0.94,-0.52,0.26,93.38,-109.38,-0.18
3,969.0,-0.89,-0.5,0.26,89.42,-140.62,-0.18
4,977.0,-0.84,-0.44,0.19,85.39,-156.25,-0.18
5,984.0,-0.86,-0.35,0.1,76.6,-171.88,-0.18
6,992.0,-0.81,-0.31,-0.03,65.86,-187.5,-0.18
7,1000.0,-0.71,-0.33,-0.23,59.33,-187.5,-0.18
8,1008.0,-0.53,-0.32,-0.47,47.55,-187.5,-0.18
9,1030.0,-0.01,-0.2,-1.12,-18.07,-140.62,-0.24
10,1037.0,0.09,-0.24,-1.29,-43.7,-93.75,-0.24
11,1044.0,0.15,-0.48,-1.48,-51.15,-46.88,-0.24
12,1051.0,0.07,-0.55,-1.58,-47.24,0.0,-0.24
13,1059.0,-0.17,-0.52,-1.58,-38.88,46.88,-0.24
14,1067.0,-0.42,-0.48,-1.5,-30.4,93.75,-0.24
15,1083.0,-0.82,-0.45,-1.27,-32.17,156.25,-0.24
16,1089.0,-0.89,-0.54,-1.15,-39.61,171.88,-0.24
17,1097.0,-0.94,-0.67,-1.02,-45.53,171.88,-0.24
18,1104.0,-0.96,-0.79,-0.91,-45.47,187.5,-0.24
19,1112.0,-0.96,-0.89,-0.78,-38.82,187.5,-0.24
20,1119.0,-0.97,-0.94,-0.69,-22.95,187.5,-0.24
21,1127.0,-1.01,-0.93,-0.6,1.71,187.5,-0.24
22,1134.0,-1.04,-0.86,-0.53,31.13,187.5,-0.24
23,1142.0,-1.05,-0.69,-0.5,61.83,171.88,-0.24
24,1149.0,-1.05,-0.52,-0.49,83.19,171.88,-0.24
25,1159.0,-1.0,-0.28,-0.54,95.03,171.88,-0.24
26,1165.0,-0.98,-0.19,-0.56,91.31,171.88,-0.24
27,1171.0,-0.94,-0.09,-0.59,74.46,187.5,-0.24
28,1186.0,-0.87,-0.12,-0.51,30.58,187.5,-0.24
29,1194.0,-0.83,-0.17,-0.43,13.92,171.88,-0.24
30,1202.0,-0.79,-0.21,-0.33,4.15,171.88,-0.24
31,1209.0,-0.76,-0.21,-0.2,-2.08,171.88,-0.24
32,1216.0,-0.75,-0.19,-0.12,-4.76,156.25,-0.24
33,1224.0,-0.73,-0.16,-0.03,-6.29,156.25,-0.24
34,1232.0,-0.71,-0.13,0.02,-6.65,140.62,-0.24
35,1240.0,-0.68,-0.08,0.11,-6.16,125.0,-0.24
36,1247.0,-0.66,-0.02,0.14,-4.64,109.38,-0.24
37,1254.0,-0.63,0.05,0.16,-0.73,109.38,-0.24
38,1261.0,-0.62,0.11,0.15,5.07,93.75,-0.24
39,1277.0,-0.59,0.2,0.17,15.26,62.5,-0.24
40,1284.0,-0.56,0.19,0.14,27.59,46.88,-0.31
41,1292.0,-0.54,0.08,0.06,44.86,31.25,-0.31
42,1299.0,-0.5,-0.04,0.0,57.07,0.0,-0.31
43,1307.0,-0.44,-0.14,-0.03,77.82,-15.62,-0.31
44,1314.0,-0.4,-0.19,-0.05,101.38,-31.25,-0.31
45,1322.0,-0.39,-0.23,-0.06,119.63,-46.88,-0.31
46,1330.0,-0.41,-0.24,-0.06,127.69,-62.5,-0.31
47,1336.0,-0.45,-0.21,-0.08,125.67,-93.75,-0.31
48,1344.0,-0.48,-0.17,-0.07,116.82,-109.38,-0.31
49,1352.0,-0.5,-0.1,-0.05,98.51,-125.0,-0.31
50,1359.0,-0.51,-0.04,-0.06,80.63,-140.62,-0.31
51,1367.0,-0.54,0.02,-0.09,63.17,-156.25,-0.31
52,1375.0,-0.55,0.04,-0.1,46.69,-171.88,-0.31
53,1381.0,-0.57,0.06,-0.09,37.6,-187.5,-0.31
54,1389.0,-0.62,0.07,-0.13,35.28,-203.12,-0.31
55,1397.0,-0.67,0.08,-0.17,37.78,-218.75,-0.31
56,1404.0,-0.7,0.05,-0.2,42.24,-234.38,-0.31
57,1412.0,-0.73,-0.01,-0.26,50.42,-234.38,-0.31
58,1419.0,-0.8,-0.17,-0.42,63.78,-250.0,-0.31
59,1426.0,-0.85,-0.41,-0.74,81.18,-250.0,-0.31
60,1434.0,-0.82,-0.69,-1.05,94.42,-250.0,-0.31
61,1442.0,-0.79,-0.88,-1.29,102.48,-234.38,-0.31
62,1450.0,-0.9,-0.93,-1.42,113.89,-234.38,-0.31
63,1457.0,-1.03,-0.85,-1.51,123.41,-218.75,-0.31
64,1464.0,-1.2,-0.68,-1.5,125.79,-218.75,-0.31
65,1472.0,-1.47,-0.61,-1.24,128.05,-218.75,-0.31
66,1481.0,-1.44,-0.66,-0.92,133.06,-281.25,-0.31
67,1495.0,-0.0,-0.65,-0.71,140.38,-375.0,-0.31
68,1502.0,1.06,-0.28,-0.8,47.97,-343.75,-0.31
69,1510.0,1.43,-0.06,-1.08,-47.91,-250.0,-0.31
70,1517.0,1.41,-0.21,-1.57,-115.23,-171.88,-0.31
71,1524.0,1.31,-0.85,-2.04,-132.2,-93.75,-0.31
72,1532.0,1.26,-1.45,-2.27,-83.37,0.0,-0.31
73,1540.0,0.59,-0.97,-2.16,-28.2,78.12,-0.37
74,1554.0,-0.37,0.01,-1.61,-40.22,156.25,-0.37
75,1562.0,-0.34,-0.05,-1.38,-72.14,187.5,-0.37
76,1569.0,-0.45,-0.33,-1.23,-97.47,218.75,-0.37
77,1577.0,-0.66,-0.6,-1.13,-120.3,218.75,-0.37
78,1584.0,-0.85,-0.95,-1.04,-116.7,203.12,-0.37
79,1591.0,-0.86,-1.22,-0.97,-81.12,187.5,-0.37
80,1599.0,-0.8,-1.31,-1.01,-29.42,171.88,-0.37
81,1607.0,-0.74,-1.21,-1.11,13.92,156.25,-0.37
82,1615.0,-0.75,-0.98,-1.18,42.91,156.25,-0.37
83,1622.0,-0.76,-0.68,-1.23,52.19,156.25,-0.37
84,1629.0,-0.75,-0.48,-1.27,45.59,171.88,-0.37
85,1636.0,-0.73,-0.32,-1.25,24.29,171.88,-0.37
86,1661.0,-0.62,-0.35,-1.05,-56.27,203.12,-0.37
87,1674.0,-0.47,-0.48,-0.8,-75.07,203.12,-0.37
88,1682.0,-0.43,-0.5,-0.64,-77.51,203.12,-0.37
89,1689.0,-0.42,-0.47,-0.49,-77.39,203.12,-0.37
90,1698.0,-0.43,-0.39,-0.34,-76.35,187.5,-0.37
91,1704.0,-0.44,-0.31,-0.25,-76.54,187.5,-0.37
92,1712.0,-0.43,-0.21,-0.17,-76.11,171.88,-0.37
93,1719.0,-0.43,-0.13,-0.11,-76.78,171.88,-0.37
94,1735.0,-0.46,0.04,0.02,-74.89,156.25,-0.37
95,1742.0,-0.48,0.09,0.08,-72.27,140.62,-0.37
96,1751.0,-0.5,0.11,0.14,-64.76,125.0,-0.37
97,1757.0,-0.51,0.11,0.18,-58.41,109.38,-0.37
98,1767.0,-0.51,0.12,0.22,-44.19,93.75,-0.37
99,1773.0,-0.54,0.12,0.21,-29.48,78.12,-0.37
100,1779.0,-0.55,0.12,0.13,-22.4,62.5,-0.37
101,1787.0,-0.5,0.1,0.03,-19.35,31.25,-0.37
102,1802.0,-0.45,0.04,-0.03,-0.73,15.62,-0.43
103,1809.0,-0.49,0.01,-0.05,13.43,-15.62,-0.43
104,1817.0,-0.5,0.03,-0.07,20.08,-31.25,-0.43
105,1825.0,-0.51,0.07,-0.09,15.99,-46.88,-0.43
106,1832.0,-0.5,0.11,-0.07,4.88,-78.12,-0.43
107,1839.0,-0.51,0.11,-0.07,-10.86,-93.75,-0.43
108,1846.0,-0.5,0.09,-0.05,-28.99,-109.38,-0.43
109,1855.0,-0.5,0.08,-0.11,-42.24,-140.62,-0.43
110,1862.0,-0.5,0.08,-0.17,-47.49,-156.25,-0.43
111,1869.0,-0.51,0.08,-0.18,-48.46,-156.25,-0.43
112,1877.0,-0.57,0.1,-0.19,-41.93,-171.88,-0.43
113,1884.0,-0.66,0.1,-0.25,-29.72,-187.5,-0.43
114,1892.0,-0.78,0.02,-0.43,-12.45,-187.5,-0.43
115,1899.0,-0.88,-0.13,-0.64,7.08,-187.5,-0.43
116,1907.0,-0.95,-0.36,-0.96,27.95,-203.12,-0.43
117,1915.0,-1.01,-0.57,-1.31,47.73,-187.5,-0.43
118,1921.0,-1.08,-0.72,-1.64,69.09,-171.88,-0.43
119,1929.0,-1.21,-0.82,-1.86,90.21,-156.25,-0.43
120,1937.0,-1.47,-0.72,-1.93,109.99,-140.62,-0.43
121,1944.0,-1.82,-0.39,-1.7,119.26,-140.62,-0.43
122,1952.0,-2.17,0.11,-1.14,122.38,-187.5,-0.43
123,1959.0,-1.49,0.07,-0.68,120.24,-234.38,-0.43
124,1966.0,-0.1,-0.46,-0.66,87.71,-265.62,-0.43
125,1982.0,1.37,-0.78,-1.56,-80.51,-140.62,-0.43
126,1989.0,1.36,-0.74,-1.76,-121.4,-15.62,-0.43
127,1997.0,0.6,-0.76,-1.82,-135.5,93.75,-0.43
128,2004.0,-0.41,-0.7,-1.75,-123.23,171.88,-0.43
129,2011.0,-1.06,-0.55,-1.78,-103.33,218.75,-0.43
130,2019.0,-1.3,-0.42,-1.86,-104.49,234.38,-0.43
131,2027.0,-1.22,-0.6,-1.85,-114.32,250.0,-0.43
132,2035.0,-1.2,-0.84,-1.7,-112.43,281.25,-0.43
133,2041.0,-1.27,-0.98,-1.55,-86.3,281.25,-0.43
134,2049.0,-1.19,-1.06,-1.37,-46.45,265.62,-0.49
135,2056.0,-1.02,-0.96,-1.17,-6.29,265.62,-0.49
136,2065.0,-0.88,-0.71,-0.94,22.89,265.62,-0.49
137,2072.0,-0.8,-0.46,-0.74,33.69,265.62,-0.49
138,2079.0,-0.78,-0.21,-0.55,33.57,281.25,-0.49
139,2087.0,-0.78,0.01,-0.34,23.86,281.25,-0.49
140,2094.0,-0.79,0.14,-0.16,10.62,281.25,-0.49
141,2102.0,-0.79,0.24,0.09,-2.14,281.25,-0.49
142,2109.0,-0.77,0.29,0.28,-9.83,265.62,-0.49
143,2117.0,-0.73,0.34,0.45,-12.39,250.0,-0.49
144,2125.0,-0.67,0.38,0.55,-12.82,218.75,-0.49
145,2131.0,-0.63,0.42,0.62,-10.8,203.12,-0.49
146,2139.0,-0.59,0.41,0.53,1.16,171.88,-0.49
147,2149.0,-0.49,0.29,0.08,13.85,140.62,-0.49
148,2162.0,-0.12,0.21,-0.11,39.61,78.12,-0.49
149,2169.0,-0.01,0.12,-0.15,74.71,78.12,-0.49
150,2176.0,-0.01,0.07,-0.06,95.52,46.88,-0.49
151,2192.0,-0.2,0.25,0.35,80.2,-15.62,-0.49
152,2201.0,-0.3,0.34,0.57,62.99,-46.88,-0.49
153,2207.0,-0.36,0.33,0.62,55.79,-78.12,-0.49
154,2214.0,-0.39,0.28,0.62,51.39,-125.0,-0.49
155,2221.0,-0.38,0.23,0.59,49.87,-156.25,-0.49
156,2237.0,-0.34,0.06,0.4,52.86,-218.75,-0.49
157,2245.0,-0.35,-0.01,0.29,53.96,-234.38,-0.49
158,2251.0,-0.39,-0.12,0.11,58.78,-250.0,-0.49
159,2259.0,-0.48,-0.33,-0.21,67.02,-250.0,-0.49
160,2267.0,-0.57,-0.53,-0.56,78.25,-250.0,-0.49
161,2275.0,-0.7,-0.82,-0.95,103.88,-250.0,-0.49
162,2282.0,-0.85,-1.0,-1.15,124.15,-234.38,-0.49
163,2289.0,-1.11,-1.08,-1.34,141.48,-218.75,-0.49
164,2297.0,-1.5,-0.9,-1.42,151.73,-218.75,-0.49
165,2304.0,-1.79,-0.45,-1.19,152.4,-218.75,-0.55
166,2312.0,-1.92,-0.01,-0.85,159.97,-250.0,-0.55
167,2319.0,-1.55,0.04,-0.45,148.93,-296.88,-0.55
168,2327.0,-0.39,-0.37,-0.35,145.81,-312.5,-0.55
169,2334.0,0.57,-0.88,-0.46,90.94,-312.5,-0.55
170,2341.0,1.18,-0.73,-1.41,9.83,-234.38,-0.55
171,2349.0,1.36,-0.32,-1.94,-70.5,-140.62,-0.55
172,2357.0,1.04,-0.42,-2.04,-136.11,-31.25,-0.55
173,2364.0,0.18,-0.7,-1.78,-159.0,62.5,-0.55
174,2372.0,-0.58,-0.7,-1.66,-158.63,125.0,-0.55
175,2379.0,-1.1,-0.57,-1.54,-166.56,156.25,-0.55
176,2386.0,-1.18,-0.54,-1.45,-181.52,171.88,-0.55
177,2394.0,-1.25,-0.63,-1.33,-191.77,187.5,-0.55
178,2402.0,-1.38,-0.74,-1.19,-188.84,203.12,-0.55
179,2417.0,-1.39,-0.85,-0.87,-121.28,171.88,-0.55
180,2424.0,-1.16,-0.83,-0.76,-80.87,156.25,-0.55
181,2431.0,-1.02,-0.67,-0.64,-51.76,140.62,-0.55
182,2440.0,-0.98,-0.44,-0.57,-38.88,140.62,-0.55
183,2447.0,-0.97,-0.29,-0.5,-39.73,140.62,-0.55
184,2455.0,-0.97,-0.18,-0.45,-46.81,140.62,-0.55
185,2462.0,-0.97,-0.16,-0.41,-53.59,140.62,-0.55
186,2469.0,-0.97,-0.2,-0.37,-53.65,140.62,-0.55
187,2477.0,-0.92,-0.22,-0.36,-46.94,125.0,-0.55
188,2484.0,-0.87,-0.2,-0.35,-35.34,125.0,-0.55
189,2492.0,-0.81,-0.13,-0.29,-23.01,109.38,-0.55
190,2500.0,-0.75,-0.01,-0.23,-13.06,109.38,-0.55
191,2506.0,-0.68,0.16,-0.18,-7.87,93.75,-0.55
192,2514.0,-0.64,0.33,-0.14,-7.02,93.75,-0.55
193,2522.0,-0.62,0.43,-0.18,-11.9,78.12,-0.55
194,2529.0,-0.59,0.46,-0.22,-19.71,62.5,-0.55
195,2537.0,-0.51,0.42,-0.21,-27.89,46.88,-0.55
196,2544.0,-0.46,0.35,-0.19,-24.23,31.25,-0.55
197,2551.0,-0.42,0.24,-0.19,-12.15,15.62,-0.55
198,2559.0,-0.4,0.14,-0.19,2.62,0.0,-0.61
199,2567.0,-0.41,0.06,-0.16,19.65,-15.62,-0.61
200,2575.0,-0.45,0.01,-0.11,36.68,-46.88,-0.61
201,2582.0,-0.52,-0.01,-0.07,50.42,-62.5,-0.61
202,2589.0,-0.57,0.04,-0.07,55.66,-78.12,-0.61
203,2596.0,-0.61,0.09,-0.11,54.81,-109.38,-0.61
204,2604.0,-0.65,0.11,-0.17,48.77,-125.0,-0.61
205,2612.0,-0.67,0.13,-0.26,39.0,-140.62,-0.61
206,2620.0,-0.69,0.13,-0.41,28.32,-156.25,-0.61
207,2626.0,-0.73,0.09,-0.52,17.4,-156.25,-0.61
208,2634.0,-0.79,0.0,-0.6,11.23,-156.25,-0.61
209,2641.0,-0.87,-0.15,-0.75,12.76,-156.25,-0.61
210,2650.0,-0.94,-0.41,-1.03,21.12,-156.25,-0.61
211,2657.0,-0.93,-0.67,-1.21,31.92,-156.25,-0.61
212,2664.0,-0.95,-0.89,-1.29,49.5,-140.62,-0.61
213,2672.0,-1.08,-0.95,-1.3,76.78,-125.0,-0.61
214,2679.0,-1.28,-0.86,-1.41,104.43,-109.38,-0.61
215,2687.0,-1.45,-0.78,-1.31,136.29,-109.38,-0.61
216,2694.0,-1.65,-0.91,-0.96,184.2,-140.62,-0.61
217,2702.0,-1.33,-1.23,-0.65,216.86,-203.12,-0.61
218,2709.0,-0.35,-1.05,-0.54,221.19,-250.0,-0.61
219,2716.0,0.61,-0.84,-0.61,120.36,-250.0,-0.61
220,2724.0,1.3,-0.4,-1.12,-2.62,-156.25,-0.61
221,2732.0,1.07,-0.22,-1.48,-89.23,-78.12,-0.61
222,2739.0,0.86,-0.47,-1.51,-140.56,0.0,-0.61
223,2748.0,0.12,-0.44,-1.34,-151.98,93.75,-0.61
224,2754.0,-0.46,-0.31,-1.26,-149.48,125.0,-0.61
225,2761.0,-0.63,-0.28,-1.21,-157.04,156.25,-0.61
226,2769.0,-0.69,-0.38,-1.16,-177.55,203.12,-0.61
227,2777.0,-0.81,-0.53,-1.1,-193.91,218.75,-0.61
228,2785.0,-1.06,-0.73,-1.0,-188.72,234.38,-0.61
229,2791.0,-1.27,-0.89,-0.87,-158.08,218.75,-0.61
230,2799.0,-1.34,-0.99,-0.84,-110.29,187.5,-0.61
231,2806.0,-1.24,-0.94,-0.8,-67.26,171.88,-0.61
232,2814.0,-1.08,-0.7,-0.7,-32.41,171.88,-0.61
233,2822.0,-0.95,-0.46,-0.6,-15.5,171.88,-0.67
234,2830.0,-0.85,-0.22,-0.47,-15.2,171.88,-0.67
235,2836.0,-0.85,-0.08,-0.38,-21.85,171.88,-0.67
236,2844.0,-0.85,-0.02,-0.27,-30.94,171.88,-0.67
237,2852.0,-0.86,0.01,-0.2,-36.87,171.88,-0.67
238,2859.0,-0.87,0.04,-0.15,-35.71,171.88,-0.67
239,2867.0,-0.87,0.07,-0.11,-31.25,156.25,-0.67
240,2874.0,-0.86,0.14,-0.05,-26.98,140.62,-0.67
241,2882.0,-0.84,0.26,0.0,-23.25,125.0,-0.67
242,2889.0,-0.81,0.4,-0.02,-23.74,109.38,-0.67
243,2897.0,-0.75,0.44,-0.1,-24.6,93.75,-0.67
244,2904.0,-0.67,0.42,-0.18,-28.32,78.12,-0.67
245,2912.0,-0.59,0.38,-0.19,-21.42,78.12,-0.67
246,2919.0,-0.54,0.29,-0.19,-2.56,62.5,-0.67
247,2926.0,-0.53,0.24,-0.18,21.3,46.88,-0.67
248,2934.0,-0.53,0.24,-0.12,41.5,31.25,-0.67
249,2942.0,-0.54,0.25,-0.06,55.36,15.62,-0.67
250,2949.0,-0.57,0.23,-0.0,62.5,-15.62,-0.67
251,2957.0,-0.61,0.2,0.06,68.24,-31.25,-0.67
252,2964.0,-0.66,0.16,0.08,75.56,-46.88,-0.67
253,2971.0,-0.7,0.12,0.04,83.44,-78.12,-0.67
254,2979.0,-0.71,0.1,-0.0,88.38,-93.75,-0.67
255,2987.0,-0.72,0.11,-0.02,91.31,-109.38,-0.67
256,3001.0,-0.8,0.11,-0.13,96.74,-140.62,-0.67
257,3009.0,-0.82,0.06,-0.16,94.06,-156.25,-0.67
258,3016.0,-0.84,-0.0,-0.2,97.66,-156.25,-0.67
259,3024.0,-0.92,-0.14,-0.35,105.47,-171.88,-0.67
260,3032.0,-0.99,-0.32,-0.6,114.26,-187.5,-0.67
261,3040.0,-0.99,-0.67,-0.96,127.62,-187.5,-0.67
262,3047.0,-0.97,-1.04,-1.21,142.15,-171.88,-0.67
263,3055.0,-1.06,-1.25,-1.27,164.92,-171.88,-0.67
264,3062.0,-1.28,-1.24,-1.28,193.18,-171.88,-0.67
265,3069.0,-1.61,-1.14,-1.22,221.98,-187.5,-0.67
266,3077.0,-1.6,-0.78,-1.05,241.7,-218.75,-0.73
267,3084.0,-1.17,-0.24,-0.92,256.35,-265.62,-0.73
268,3099.0,0.93,-0.35,-1.13,131.35,-265.62,-0.73
269,3107.0,1.21,-0.37,-1.3,29.36,-203.12,-0.73
270,3114.0,1.16,-0.41,-1.89,-52.19,-109.38,-0.73
271,3122.0,1.11,-0.43,-2.13,-102.05,-31.25,-0.73
272,3130.0,0.42,-0.44,-2.0,-110.29,62.5,-0.73
273,3136.0,-0.21,-0.27,-1.88,-110.66,109.38,-0.73
274,3144.0,-0.57,-0.13,-1.66,-118.47,140.62,-0.73
275,3152.0,-0.58,-0.22,-1.49,-126.4,171.88,-0.73
276,3166.0,-0.63,-0.79,-1.13,-125.73,234.38,-0.73
277,3174.0,-0.75,-0.92,-1.03,-105.29,250.0,-0.73
278,3181.0,-0.84,-0.98,-0.97,-71.59,250.0,-0.73
279,3189.0,-0.8,-0.95,-0.85,-31.31,234.38,-0.73
280,3197.0,-0.8,-0.76,-0.74,1.83,234.38,-0.73
281,3205.0,-0.81,-0.48,-0.63,22.71,218.75,-0.73
282,3211.0,-0.8,-0.25,-0.52,23.99,218.75,-0.73
283,3219.0,-0.8,-0.03,-0.42,13.12,218.75,-0.73
284,3226.0,-0.82,0.09,-0.33,-5.25,234.38,-0.73
285,3235.0,-0.82,0.12,-0.25,-25.02,234.38,-0.73
286,3242.0,-0.8,0.1,-0.18,-41.87,218.75,-0.73
287,3249.0,-0.77,0.07,-0.14,-54.5,218.75,-0.73
288,3264.0,-0.71,0.04,-0.07,-68.66,203.12,-0.73
289,3272.0,-0.68,0.06,-0.0,-68.97,203.12,-0.73
290,3279.0,-0.66,0.11,0.1,-65.43,187.5,-0.73
291,3287.0,-0.63,0.17,0.21,-59.88,171.88,-0.73
292,3295.0,-0.6,0.24,0.3,-52.8,156.25,-0.73
293,3301.0,-0.59,0.32,0.38,-48.71,140.62,-0.73
294,3309.0,-0.59,0.41,0.47,-45.17,125.0,-0.73
295,3325.0,-0.63,0.43,0.5,-37.6,93.75,-0.73
296,3332.0,-0.64,0.31,0.43,-27.59,62.5,-0.79
297,3347.0,-0.57,0.06,0.18,7.69,31.25,-0.79
298,3354.0,-0.51,-0.0,0.02,23.8,0.0,-0.79
299,3364.0,-0.44,-0.01,-0.19,40.16,-15.62,-0.79
300,3371.0,-0.4,0.06,-0.31,46.63,-31.25,-0.79
301,3376.0,-0.4,0.11,-0.33,49.19,-46.88,-0.79
302,3384.0,-0.46,0.2,-0.31,50.29,-46.88,-0.79
303,3391.0,-0.57,0.31,-0.23,48.77,-62.5,-0.79
304,3399.0,-0.71,0.4,-0.11,43.21,-78.12,-0.79
305,3407.0,-0.79,0.44,-0.03,34.61,-93.75,-0.79
306,3415.0,-0.84,0.44,0.06,30.52,-125.0,-0.79
307,3421.0,-0.87,0.4,0.06,30.94,-140.62,-0.79
308,3429.0,-0.86,0.33,0.03,33.69,-156.25,-0.79
309,3436.0,-0.84,0.24,-0.03,41.81,-171.88,-0.79
310,3445.0,-0.83,0.13,-0.11,51.27,-187.5,-0.79
311,3452.0,-0.86,0.06,-0.11,59.08,-187.5,-0.79
312,3458.0,-0.95,0.04,-0.14,68.54,-203.12,-0.79
313,3467.0,-1.06,0.01,-0.23,75.68,-203.12,-0.79
314,3474.0,-1.13,-0.06,-0.41,80.02,-218.75,-0.79
315,3482.0,-1.12,-0.23,-0.7,82.52,-234.38,-0.79
316,3489.0,-1.04,-0.44,-1.01,90.76,-234.38,-0.79
317,3497.0,-0.93,-0.81,-1.43,113.22,-218.75,-0.79
318,3504.0,-0.9,-1.17,-1.76,138.61,-187.5,-0.79
319,3511.0,-1.04,-1.39,-1.99,164.12,-171.88,-0.79
320,3519.0,-1.38,-1.28,-1.88,177.25,-156.25,-0.79
321,3527.0,-1.93,-0.69,-1.42,198.73,-156.25,-0.79
322,3534.0,-2.04,-0.35,-0.93,233.22,-218.75,-0.79
323,3541.0,-0.82,-0.75,-0.52,251.71,-296.88,-0.79
324,3549.0,0.62,-1.1,-0.55,221.37,-328.12,-0.79
325,3556.0,1.99,-0.82,-1.21,104.06,-234.38,-0.79
326,3564.0,2.04,-0.24,-1.94,4.27,-93.75,-0.79
327,3572.0,1.33,-0.19,-2.08,-75.62,0.0,-0.79
328,3580.0,0.64,-0.13,-1.99,-131.16,109.38,-0.79
329,3586.0,-0.19,-0.02,-1.88,-166.5,171.88,-0.85
330,3594.0,-0.85,-0.08,-1.74,-191.77,203.12,-0.85
331,3601.0,-0.99,-0.3,-1.61,-213.56,218.75,-0.85
332,3610.0,-0.95,-0.58,-1.46,-234.01,234.38,-0.85
333,3617.0,-1.06,-0.83,-1.34,-231.69,265.62,-0.85
334,3625.0,-1.25,-0.97,-1.21,-192.32,250.0,-0.85
335,3631.0,-1.23,-1.03,-1.03,-132.75,218.75,-0.85
336,3639.0,-0.98,-0.99,-0.91,-76.17,203.12,-0.85
337,3647.0,-0.78,-0.8,-0.77,-38.02,203.12,-0.85
338,3654.0,-0.73,-0.52,-0.64,-18.92,203.12,-0.85
339,3662.0,-0.73,-0.21,-0.5,-18.74,203.12,-0.85
340,3669.0,-0.74,-0.02,-0.4,-31.49,203.12,-0.85
341,3676.0,-0.75,0.12,-0.27,-48.16,203.12,-0.85
342,3684.0,-0.76,0.18,-0.17,-63.17,218.75,-0.85
343,3692.0,-0.76,0.21,-0.07,-74.89,203.12,-0.85
344,3702.0,-0.76,0.22,0.04,-85.45,203.12,-0.85
345,3714.0,-0.74,0.24,0.12,-94.06,171.88,-0.85
346,3721.0,-0.71,0.27,0.17,-97.17,171.88,-0.85
347,3729.0,-0.7,0.29,0.23,-95.21,156.25,-0.85
348,3737.0,-0.7,0.31,0.3,-87.46,140.62,-0.85
349,3744.0,-0.71,0.31,0.34,-75.13,125.0,-0.85
350,3759.0,-0.72,0.32,0.32,-50.6,78.12,-0.85
351,3774.0,-0.69,0.32,0.18,-31.86,46.88,-0.85
352,3785.0,-0.57,0.17,-0.04,-20.26,31.25,-0.85
353,3789.0,-0.5,0.06,-0.1,-15.69,15.62,-0.85
354,3797.0,-0.42,-0.01,-0.18,-6.9,0.0,-0.85
355,3804.0,-0.43,0.01,-0.24,5.25,-15.62,-0.85
356,3811.0,-0.49,0.07,-0.21,16.42,-15.62,-0.85
357,3820.0,-0.61,0.2,-0.1,24.23,-31.25,-0.85
358,3827.0,-0.7,0.34,0.03,25.94,-62.5,-0.85
359,3834.0,-0.77,0.43,0.1,27.71,-78.12,-0.85
360,3842.0,-0.82,0.44,0.12,30.4,-93.75,-0.92
361,3849.0,-0.84,0.42,0.11,37.35,-109.38,-0.92
362,3858.0,-0.83,0.3,0.07,55.6,-140.62,-0.92
363,3864.0,-0.82,0.24,0.02,69.82,-140.62,-0.92
364,3872.0,-0.84,0.19,-0.04,90.52,-156.25,-0.92
365,3879.0,-0.9,0.16,-0.08,105.16,-171.88,-0.92
366,3886.0,-0.99,0.15,-0.14,111.21,-187.5,-0.92
367,3894.0,-1.05,0.14,-0.25,112.67,-187.5,-0.92
368,3902.0,-1.09,0.04,-0.4,112.24,-203.12,-0.92
369,3909.0,-1.09,-0.08,-0.52,111.76,-203.12,-0.92
370,3916.0,-1.07,-0.25,-0.71,118.35,-218.75,-0.92
371,3924.0,-1.05,-0.43,-0.89,130.98,-203.12,-0.92
372,3931.0,-1.04,-0.71,-1.17,151.0,-203.12,-0.92
373,3939.0,-1.09,-0.9,-1.28,165.53,-187.5,-0.92
374,3947.0,-1.26,-0.81,-1.26,180.54,-187.5,-0.92
375,3955.0,-1.43,-0.74,-1.14,197.14,-187.5,-0.92
376,3961.0,-1.26,-0.51,-0.77,212.28,-218.75,-0.92
377,3969.0,-0.51,-0.45,-0.76,257.2,-250.0,-0.92
378,3976.0,0.35,-0.59,-0.97,278.56,-265.62,-0.92
379,3984.0,1.1,-0.54,-1.3,229.8,-203.12,-0.92
380,3992.0,1.4,-0.16,-1.95,156.25,-140.62,-0.92
381,4000.0,1.4,-0.02,-2.35,72.2,-46.88,-0.92
382,4006.0,0.91,0.08,-2.3,4.64,46.88,-0.92
383,4014.0,0.17,0.03,-2.15,-54.75,109.38,-0.92
384,4021.0,-0.38,-0.16,-1.97,-101.99,156.25,-0.92
385,4030.0,-0.55,-0.25,-1.8,-144.84,171.88,-0.92
386,4037.0,-0.61,-0.41,-1.62,-181.21,203.12,-0.92
387,4052.0,-0.85,-1.0,-1.3,-191.16,234.38,-0.92
388,4059.0,-0.95,-1.13,-1.15,-159.0,234.38,-0.92
389,4067.0,-0.92,-1.1,-0.99,-116.39,218.75,-0.92
390,4082.0,-0.77,-0.58,-0.68,-53.77,203.12,-0.92
391,4088.0,-0.75,-0.33,-0.57,-47.97,203.12,-0.92
392,4096.0,-0.75,-0.12,-0.43,-53.47,203.12,-0.98
393,4105.0,-0.79,0.0,-0.31,-64.03,218.75,-0.98
394,4112.0,-0.81,0.06,-0.21,-72.14,218.75,-0.98
395,4119.0,-0.84,0.07,-0.13,-77.76,218.75,-0.98
