gyrolX: 91.43:GyroY: 41.38:gyroZ: -102.17

time:62340:accelX: 1.63:accelY: -0.11:accelZ: -0.28
gyrolX: 24.78:GyroY: 100.52:gyroZ: -194.70

time:62449:accelX: 1.65:accelY: -0.16:accelZ: -0.05
gyrolX: -22.77:GyroY: 104.06:gyroZ: -248.72

time:62557:accelX: 1.12:accelY: 0.21:accelZ: 0.11
gyrolX: -6.96:GyroY: 25.21:gyroZ: -220.58

time:62666:accelX: 0.68:accelY: 0.46:accelZ: -0.12
gyrolX: 104.19:GyroY: -10.99:gyroZ: -34.18

time:62774:accelX: 1.08:accelY: 0.14:accelZ: -0.14
gyrolX: -67.26:GyroY: -53.34:gyroZ: 155.82

time:62882:accelX: 1.67:accelY: -0.13:accelZ: -0.11
gyrolX: -177.55:GyroY: -53.04:gyroZ: 313.35

time:62991:accelX: 1.68:accelY: -0.71:accelZ: -0.22
gyrolX: 70.50:GyroY: -13.18:gyroZ: 325.62

time:63100:accelX: 1.01:accelY: -0.05:accelZ: -0.46
gyrolX: 4.15:GyroY: -28.08:gyroZ: 48.34

time:63208:accelX: 0.78:accelY: -0.53:accelZ: -0.29
gyrolX: 9.77:GyroY: -6.65:gyroZ: -43.64

time:63316:accelX: 1.42:accelY: -0.21:accelZ: -0.39
gyrolX: 107.73:GyroY: 53.22:gyroZ: -142.82

time:63424:accelX: 1.72:accelY: -0.19:accelZ: -0.30
gyrolX: -32.71:GyroY: 100.40:gyroZ: -257.14

time:63533:accelX: 1.54:accelY: -0.01:accelZ: -0.15
gyrolX: -35.71:GyroY: 102.66:gyroZ: -238.34

time:63641:accelX: 0.85:accelY: 0.25:accelZ: -0.10
gyrolX: 16.60:GyroY: 20.75:gyroZ: -128.72

time:63750:accelX: 0.80:accelY: 0.27:accelZ: -0.22
gyrolX: 36.44:GyroY: -36.93:gyroZ: 65.61

time:63859:accelX: 1.23:accelY: -0.07:accelZ: -0.11
gyrolX: -38.82:GyroY: -87.46:gyroZ: 198.06

time:63967:accelX: 1.66:accelY: -0.08:accelZ: -0.00
gyrolX: -133.30:GyroY: -128.36:gyroZ: 318.18

time:64076:accelX: 1.63:accelY: -0.63:accelZ: -0.23
gyrolX: 40.89:GyroY: -40.83:gyroZ: 247.62

time:64184:accelX: 0.85:accelY: -0.32:accelZ: -0.49
gyrolX: -113.34:GyroY: -23.25:gyroZ: 11.17

time:64293:accelX: 0.96:accelY: -0.52:accelZ: -0.33
gyrolX: 55.48:GyroY: 13.79:gyroZ: -93.26

time:64402:accelX: 1.54:accelY: -0.10:accelZ: -0.29
gyrolX: 0.00:GyroY: 59.94:gyroZ: -213.87

time:64510:accelX: 1.78:accelY: -0.29:accelZ: -0.06
gyrolX: -37.84:GyroY: 41.08:gyroZ: -283.69

time:64619:accelX: 1.11:accelY: 0.18:accelZ: 0.06
gyrolX: 40.83:GyroY: -2.38:gyroZ: -217.53

time:64727:accelX: 0.72:accelY: 0.35:accelZ: -0.19
gyrolX: 128.11:GyroY: -13.67:gyroZ: -42.97

time:64835:accelX: 0.98:accelY: 0.20:accelZ: -0.26
gyrolX: -41.87:GyroY: -29.85:gyroZ: 115.54

time:64944:accelX: 1.51:accelY: -0.12:accelZ: -0.06
gyrolX: -138.24:GyroY: -47.67:gyroZ: 239.07

time:65051:accelX: 1.81:accelY: -0.55:accelZ: -0.00
gyrolX: -50.90:GyroY: -9.70:gyroZ: 330.81

time:65161:accelX: 1.11:accelY: -0.64:accelZ: -0.17
gyrolX: 77.21:GyroY: -17.15:gyroZ: 152.53

time:65269:accelX: 0.74:accelY: -0.48:accelZ: -0.35
gyrolX: -80.26:GyroY: -15.08:gyroZ: -28.08

time:65377:accelX: 1.09:accelY: -0.46:accelZ: -0.35
gyrolX: 63.72:GyroY: 17.46:gyroZ: -123.05

time:65486:accelX: 1.65:accelY: -0.23:accelZ: -0.24
gyrolX: 25.15:GyroY: 79.16:gyroZ: -226.93

time:65594:accelX: 1.71:accelY: -0.06:accelZ: -0.07
gyrolX: 46.45:GyroY: 91.80:gyroZ: -259.46

time:65703:accelX: 1.04:accelY: 0.13:accelZ: -0.06
gyrolX: -2.75:GyroY: 39.61:gyroZ: -179.20

time:65811:accelX: 0.81:accelY: 0.37:accelZ: -0.21
gyrolX: 47.73:GyroY: 0.37:gyroZ: 33.26
