
time:229716:accelX: -0.18:accelY: -0.29:accelZ: -0.99
gyrolX: 8.85:GyroY: -17.46:gyroZ: -3.48

time:229825:accelX: -0.22:accelY: -0.29:accelZ: -0.91
gyrolX: -8.18:GyroY: -25.88:gyroZ: -14.89

time:229933:accelX: -0.06:accelY: -0.23:accelZ: -1.04
gyrolX: -4.82:GyroY: -21.67:gyroZ: -6.41

time:230042:accelX: -0.12:accelY: -0.34:accelZ: -0.92
gyrolX: -3.60:GyroY: -0.55:gyroZ: 1.04

time:230151:accelX: -0.07:accelY: -0.28:accelZ: -1.02
gyrolX: 11.41:GyroY: -2.32:gyroZ: -3.05

time:230259:accelX: -0.08:accelY: -0.29:accelZ: -0.97
gyrolX: -0.43:GyroY: -6.29:gyroZ: 0.18

time:230368:accelX: -0.08:accelY: -0.25:accelZ: -0.97
gyrolX: 6.77:GyroY: 0.18:gyroZ: -2.14

time:230476:accelX: -0.08:accelY: -0.26:accelZ: -0.98
gyrolX: 5.80:GyroY: 0.92:gyroZ: 11.78

time:230584:accelX: 0.32:accelY: -0.51:accelZ: -1.16
gyrolX: -83.68:GyroY: 96.62:gyroZ: -33.39

time:230693:accelX: 0.02:accelY: -0.22:accelZ: -0.25
gyrolX: -446.59:GyroY: 133.54:gyroZ: -104.31

time:230906:accelX: 0.24:accelY: -0.65:accelZ: 0.43
gyrolX: 51.15:GyroY: 398.32:gyroZ: 187.38

time:231014:accelX: 0.24:accelY: -0.78:accelZ: 0.90
gyrolX: 209.41:GyroY: 218.75:gyroZ: 324.77

time:231123:accelX: 1.55:accelY: -1.00:accelZ: -0.18
gyrolX: 237.43:GyroY: -9.28:gyroZ: 281.80

time:231232:accelX: 1.17:accelY: -0.59:accelZ: -0.58
gyrolX: 96.50:GyroY: 15.75:gyroZ: -102.29

time:231340:accelX: 1.50:accelY: -0.33:accelZ: -0.47
gyrolX: -55.48:GyroY: 50.05:gyroZ: -258.12

time:231450:accelX: 1.08:accelY: -0.23:accelZ: -0.17
gyrolX: -60.00:GyroY: 47.49:gyroZ: -215.88

