GyroY: -0.18:gyroZ: -0.24

time:3716120:accelX: -0.01:accelY: -0.18:accelZ: -0.99
gyrolX: 0.00:GyroY: -0.79:gyroZ: -0.24

time:3717122:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: -0.37:GyroY: -0.61:gyroZ: -0.06

time:3718123:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: 0.00:GyroY: -0.79:gyroZ: -0.37

time:3719124:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: 0.00:GyroY: -0.73:gyroZ: -0.24

time:3720125:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: -0.06:GyroY: -0.61:gyroZ: -0.31

time:3721125:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: 0.18:GyroY: -0.43:gyroZ: -0.18

time:3722126:accelX: -0.01:accelY: -0.17:accelZ: -0.98
gyrolX: -0.06:GyroY: -0.37:gyroZ: -0.31

time:3723127:accelX: -0.01:accelY: -0.18:accelZ: -0.99
gyrolX: -0.12:GyroY: -0.73:gyroZ: -0.37

time:3724128:accelX: -0.01:accelY: -0.18:accelZ: -0.99
gyrolX: 0.18:GyroY: -0.55:gyroZ: -0.24

time:3725129:accelX: -0.01:accelY: -0.18:accelZ: -0.99
gyrolX: -0.18:GyroY: -0.55:gyroZ: -0.06

time:3726130:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: 0.00:GyroY: -0.61:gyroZ: -0.06

time:3727131:accelX: -0.02:accelY: -0.17:accelZ: -0.98
gyrolX: -1.89:GyroY: -5.68:gyroZ: 0.55

time:3728132:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: 0.18:GyroY: -0.67:gyroZ: -0.24

time:3729133:accelX: -0.01:accelY: -0.18:accelZ: -0.99
gyrolX: -0.12:GyroY: -0.85:gyroZ: -0.31

time:3730134:accelX: -0.01:accelY: -0.18:accelZ: -0.99
gyrolX: -0.06:GyroY: -0.73:gyroZ: -0.18

time:3731135:accelX: -0.01:accelY: -0.18:accelZ: -0.99
gyrolX: -0.18:GyroY: -0.79:gyroZ: -0.12

time:3732136:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: -0.12:GyroY: -0.37:gyroZ: -0.06

time:3733137:accelX: -0.01:accelY: -0.18:accelZ: -0.99
gyrolX: 0.12:GyroY: -0.85:gyroZ: -0.31

time:3734138:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: 0.18:GyroY: -0.55:gyroZ: -0.43

time:3735139:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: -0.06:GyroY: -0.73:gyroZ: -0.18

time:3736140:accelX: -0.01:accelY: -0.18:accelZ: -0.99
gyrolX: -0.12:GyroY: -0.55:gyroZ: -0.18

time:3737141:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: -0.12:GyroY: -0.43:gyroZ: -0.18

time:3738142:accelX: -0.01:accelY: -0.18:accelZ: -0.99
gyrolX: 0.06:GyroY: -0.61:gyroZ: -0.31

time:3739143:accelX: -0.01:accelY: -0.18:accelZ: -0.98
gyrolX: 0.00:GyroY: -0.67:gyroZ: -0.12

time:3740144:accelX: -0.01:accelY: -0.18:accelZ: -0.98
gyrolX: -0.12:GyroY: -0.49:gyroZ: -0.31

time:3741145:accelX: -0.01:accelY: -0.18:accelZ: -0.98
gyrolX: 0.00:GyroY: -0.61:gyroZ: -0.24

time:3742146:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: 0.00:GyroY: -0.49:gyroZ: -0.31

time:3743147:accelX: -0.01:accelY: -0.18:accelZ: -0.99
gyrolX: 0.06:GyroY: -0.67:gyroZ: -0.18

time:3744148:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: 0.06:GyroY: -0.43:gyroZ: -0.18

time:3745149:accelX: -0.01:accelY: -0.17:accelZ: -0.99
gyrolX: 0.18:GyroY: -0.73:gyroZ: -0.31

time:3746150:accelX: -0.01:accelY: -0.18:accelZ: -0.99
gyrolX: 0.00:GyroY: -0.43:gyroZ: -0.24

time:3747151:accelX: -0.01:accelY: -0.18:accelZ: -0.99
gyrolX: 0.00:GyroY: -0.55:gyroZ: -0.31

time:3748152:accelX: -0.00:accelY: -0.18:accelZ: -0.99
gyrolX: 0.06:GyroY: -0.73:gyroZ: -0.37
