
time:285657:accelX: -0.03:accelY: -0.24:accelZ: -0.96
gyrolX: 35.16:GyroY: -4.15:gyroZ: -9.64

time:285765:accelX: -0.10:accelY: -0.17:accelZ: -1.00
gyrolX: 27.16:GyroY: 4.82:gyroZ: -8.36

time:285873:accelX: -0.07:accelY: -0.19:accelZ: -0.89
gyrolX: 6.41:GyroY: -3.42:gyroZ: 2.32

time:285982:accelX: -0.13:accelY: 0.02:accelZ: -0.90
gyrolX: 10.62:GyroY: -5.86:gyroZ: 9.40

time:286089:accelX: -0.03:accelY: -0.24:accelZ: -1.06
gyrolX: 7.75:GyroY: 10.31:gyroZ: 11.11

time:286197:accelX: -0.11:accelY: -0.10:accelZ: -0.98
gyrolX: 6.59:GyroY: -6.59:gyroZ: -6.59

time:286305:accelX: -0.06:accelY: 0.01:accelZ: -1.05
gyrolX: 4.94:GyroY: -4.03:gyroZ: -6.65

time:286413:accelX: -0.06:accelY: -0.09:accelZ: -1.00
gyrolX: 6.90:GyroY: 11.17:gyroZ: 1.22

time:286521:accelX: -0.14:accelY: -0.12:accelZ: -1.02
gyrolX: -5.13:GyroY: -5.25:gyroZ: -11.54

time:286629:accelX: -0.07:accelY: -0.09:accelZ: -0.97
gyrolX: 8.79:GyroY: -25.88:gyroZ: -33.87

time:286738:accelX: 0.11:accelY: 0.20:accelZ: -1.01
gyrolX: -16.72:GyroY: -9.22:gyroZ: 1.71

time:286845:accelX: -0.06:accelY: -0.01:accelZ: -1.06
gyrolX: -43.88:GyroY: 28.87:gyroZ: 7.87

time:286954:accelX: -0.10:accelY: -0.18:accelZ: -1.01
gyrolX: -6.35:GyroY: -13.98:gyroZ: -14.10

time:287062:accelX: -0.01:accelY: 0.01:accelZ: -1.05
gyrolX: 4.52:GyroY: -1.10:gyroZ: -0.85

time:287169:accelX: -0.04:accelY: -0.18:accelZ: -1.01
gyrolX: -12.45:GyroY: 0.00:gyroZ: 2.75

time:287278:accelX: -0.05:accelY: -0.13:accelZ: -1.02
gyrolX: 28.08:GyroY: 5.07:gyroZ: 1.71

time:287386:accelX: -0.09:accelY: -0.08:accelZ: -0.97
gyrolX: 16.54:GyroY: 10.01:gyroZ: 1.89

time:287495:accelX: -0.08:accelY: -0.11:accelZ: -0.96
gyrolX: -13.79:GyroY: -11.72:gyroZ: -11.05

time:287602:accelX: -0.02:accelY: -0.02:accelZ: -1.06
gyrolX: 13.18:GyroY: 4.09:gyroZ: -7.20

time:287710:accelX: -0.09:accelY: -0.07:accelZ: -0.95
gyrolX: -8.73:GyroY: 1.71:gyroZ: -3.97

time:287818:accelX: -0.05:accelY: -0.07:accelZ: -1.04
gyrolX: -0.12:GyroY: -2.81:gyroZ: -4.58

time:287926:accelX: -0.08:accelY: -0.07:accelZ: -0.96
gyrolX: -2.56:GyroY: -0.37:gyroZ: -2.38

time:288034:accelX: -0.02:accelY: -0.11:accelZ: -1.05
gyrolX: 1.04:GyroY: 2.20:gyroZ: -3.85

time:288143:accelX: 0.17:accelY: -0.28:accelZ: -1.17
gyrolX: -40.04:GyroY: 50.05:gyroZ: -41.81

time:288251:accelX: -0.05:accelY: -0.31:accelZ: -0.61
gyrolX: -39.06:GyroY: 28.69:gyroZ: -52.55

time:288428:accelX: -0.42:accelY: -0.19:accelZ: -0.92
gyrolX: -114.38:GyroY: -32.35:gyroZ: 67.81

time:288537:accelX: -0.13:accelY: 0.15:accelZ: -0.58
gyrolX: -286.19:GyroY: -55.66:gyroZ: 155.15

time:288668:accelX: 1.03:accelY: -2.19:accelZ: -0.95
gyrolX: -103.82:GyroY: 12.08:gyroZ: 277.34

time:288777:accelX: 1.56:accelY: -1.11:accelZ: -0.08
gyrolX: 106.99:GyroY: -129.09:gyroZ: 276.12

time:288886:accelX: 1.26:accelY: -0.09:accelZ: -0.39
gyrolX: 165.65:GyroY: 65.73:gyroZ: 8.54

time:288995:accelX: 1.10:accelY: -0.35:accelZ: -0.25
gyrolX: -343.20:GyroY: 120.12:gyroZ: -210.57

time:289103:accelX: 0.65:accelY: -0.20:accelZ: -0.04
gyrolX: 49.19:GyroY: 43.58:gyroZ: -135.68

time:289389:accelX: 1.73:accelY: -0.56:accelZ: -0.38
gyrolX: 155.94:GyroY: -139.53:gyroZ: 291.08

