
time:351791:accelX: -1.00:accelY: -0.04:accelZ: 0.00
gyrolX: 0.43:GyroY: -0.43:gyroZ: -1.16

time:351898:accelX: -0.99:accelY: -0.03:accelZ: 0.01
gyrolX: 0.43:GyroY: -0.31:gyroZ: -1.04

time:352005:accelX: -1.00:accelY: -0.04:accelZ: 0.00
gyrolX: 0.49:GyroY: -0.49:gyroZ: -1.16

time:352113:accelX: -0.99:accelY: -0.03:accelZ: -0.00
gyrolX: 0.43:GyroY: -0.67:gyroZ: -1.04

time:352219:accelX: -0.99:accelY: -0.03:accelZ: 0.00
gyrolX: 0.24:GyroY: -0.67:gyroZ: -1.10

time:352327:accelX: -0.99:accelY: -0.04:accelZ: 0.01
gyrolX: 0.61:GyroY: -0.49:gyroZ: -1.04

time:352434:accelX: -0.99:accelY: -0.04:accelZ: 0.00
gyrolX: 0.37:GyroY: -0.73:gyroZ: -1.10

time:352541:accelX: -0.99:accelY: -0.04:accelZ: 0.00
gyrolX: 0.43:GyroY: -0.43:gyroZ: -1.16

time:352648:accelX: -0.99:accelY: -0.04:accelZ: 0.01
gyrolX: 0.61:GyroY: -0.43:gyroZ: -1.16

time:352755:accelX: -0.99:accelY: -0.03:accelZ: 0.00
gyrolX: 0.31:GyroY: -0.55:gyroZ: -1.28

time:352863:accelX: -1.00:accelY: -0.03:accelZ: 0.00
gyrolX: 0.43:GyroY: -0.49:gyroZ: -0.98

time:352969:accelX: -1.00:accelY: -0.04:accelZ: 0.00
gyrolX: 0.55:GyroY: -0.37:gyroZ: -0.98

time:353077:accelX: -1.00:accelY: -0.03:accelZ: 0.01
gyrolX: 0.24:GyroY: -0.55:gyroZ: -1.10

time:353184:accelX: -1.11:accelY: -0.16:accelZ: 0.05
gyrolX: -57.13:GyroY: 14.10:gyroZ: 2.20

time:353292:accelX: -1.33:accelY: 0.07:accelZ: -0.47
gyrolX: 31.19:GyroY: -217.53:gyroZ: -110.66

time:353401:accelX: -2.59:accelY: 0.61:accelZ: -1.56
gyrolX: -545.65:GyroY: -220.09:gyroZ: -296.88

time:353509:accelX: 0.24:accelY: 0.22:accelZ: 0.03
gyrolX: 19.59:GyroY: 30.76:gyroZ: -131.90

time:353643:accelX: -0.81:accelY: 0.32:accelZ: -0.95
gyrolX: 190.98:GyroY: -79.22:gyroZ: 43.58

time:353751:accelX: -0.63:accelY: 0.41:accelZ: -0.88
gyrolX: -94.73:GyroY: -20.20:gyroZ: 179.32

time:353860:accelX: -0.89:accelY: 0.29:accelZ: -0.50
gyrolX: 77.39:GyroY: 94.48:gyroZ: -30.33

time:353968:accelX: -0.75:accelY: 0.37:accelZ: -0.44
gyrolX: -22.16:GyroY: -5.00:gyroZ: 22.83

time:354078:accelX: -0.75:accelY: 0.35:accelZ: -0.53
gyrolX: -59.69:GyroY: 19.65:gyroZ: 40.77

time:354186:accelX: -0.76:accelY: 0.14:accelZ: -0.68
gyrolX: -4.94:GyroY: -22.46:gyroZ: 41.08

time:354294:accelX: -0.78:accelY: 0.17:accelZ: -0.55
gyrolX: 32.23:GyroY: -23.13:gyroZ: 36.13

time:354403:accelX: -0.78:accelY: 0.03:accelZ: -0.62
gyrolX: -26.00:GyroY: 39.43:gyroZ: 5.98

time:354511:accelX: -0.80:accelY: 0.08:accelZ: -0.52
gyrolX: 2.87:GyroY: 0.31:gyroZ: 2.56

time:354620:accelX: -0.87:accelY: 0.05:accelZ: -0.51
gyrolX: -0.67:GyroY: 10.13:gyroZ: 10.56

time:354728:accelX: -0.85:accelY: 0.03:accelZ: -0.50
gyrolX: -10.80:GyroY: 12.02:gyroZ: 20.14

time:354836:accelX: -0.92:accelY: -0.04:accelZ: -0.52
gyrolX: -15.26:GyroY: 19.84:gyroZ: 7.14

time:354944:accelX: -0.87:accelY: -0.09:accelZ: -0.53
gyrolX: 3.66:GyroY: -34.85:gyroZ: 23.50

time:355052:accelX: -0.87:accelY: -0.05:accelZ: -0.42
gyrolX: 8.18:GyroY: -5.19:gyroZ: 10.07

time:355161:accelX: -0.88:accelY: -0.02:accelZ: -0.44
gyrolX: -2.38:GyroY: 9.52:gyroZ: 16.36

time:355269:accelX: -0.89:accelY: -0.09:accelZ: -0.51
gyrolX: 5.19:GyroY: -0.49:gyroZ: -24.23

