-2.23:accelZ: -1.70
gyrolX: -40.28:GyroY: 25.02:gyroZ: 33.33

time:1981:accelX: -0.16:accelY: -0.45:accelZ: -0.83
gyrolX: 0.00:GyroY: -19.35:gyroZ: -9.95

time:2089:accelX: -0.23:accelY: -0.83:accelZ: -0.88
gyrolX: 66.04:GyroY: -34.42:gyroZ: 17.46

time:2198:accelX: -0.13:accelY: -0.42:accelZ: -0.88
gyrolX: -1.59:GyroY: 0.79:gyroZ: 9.40

time:2306:accelX: -0.16:accelY: -0.54:accelZ: -0.84
gyrolX: -14.53:GyroY: 1.40:gyroZ: -4.64

time:2416:accelX: -0.17:accelY: -0.49:accelZ: -0.85
gyrolX: 7.39:GyroY: 1.40:gyroZ: -8.18

time:2524:accelX: -0.17:accelY: -0.55:accelZ: -0.81
gyrolX: 2.69:GyroY: 7.87:gyroZ: -1.10

time:2633:accelX: -0.19:accelY: -0.53:accelZ: -1.01
gyrolX: 39.86:GyroY: -0.12:gyroZ: -11.72

time:2742:accelX: -0.19:accelY: -0.70:accelZ: -0.87
gyrolX: 53.96:GyroY: -0.98:gyroZ: -12.39

time:2851:accelX: -0.15:accelY: -0.44:accelZ: -0.93
gyrolX: 11.72:GyroY: 3.48:gyroZ: -3.36

time:2959:accelX: -0.21:accelY: -0.42:accelZ: -0.89
gyrolX: -32.10:GyroY: 8.85:gyroZ: -8.42

time:3068:accelX: -0.23:accelY: -0.52:accelZ: -0.77
gyrolX: -20.32:GyroY: -14.59:gyroZ: -4.21

time:3177:accelX: -0.17:accelY: -0.51:accelZ: -0.88
gyrolX: -10.07:GyroY: 2.87:gyroZ: -4.03

time:3286:accelX: -0.20:accelY: -0.41:accelZ: -0.88
gyrolX: 0.79:GyroY: 11.84:gyroZ: 2.69

time:3394:accelX: -0.15:accelY: -0.32:accelZ: -0.92
gyrolX: -2.38:GyroY: 50.90:gyroZ: 30.64

time:3502:accelX: -0.21:accelY: -0.40:accelZ: -0.81
gyrolX: 22.22:GyroY: 28.08:gyroZ: 47.49

time:3611:accelX: -0.24:accelY: -0.51:accelZ: -0.91
gyrolX: 25.09:GyroY: 29.97:gyroZ: 46.33

time:3719:accelX: -0.31:accelY: -0.44:accelZ: -0.80
gyrolX: -8.12:GyroY: 51.88:gyroZ: 25.88

time:3829:accelX: -0.39:accelY: -0.57:accelZ: -0.72
gyrolX: -20.45:GyroY: 13.67:gyroZ: 37.23

time:3937:accelX: -0.29:accelY: -0.61:accelZ: -0.76
gyrolX: -3.97:GyroY: -21.73:gyroZ: 7.20

time:4045:accelX: -0.28:accelY: -0.63:accelZ: -0.87
gyrolX: -3.97:GyroY: -6.90:gyroZ: -4.52

time:4155:accelX: 0.25:accelY: -0.65:accelZ: -0.68
gyrolX: -67.81:GyroY: 48.22:gyroZ: -96.19

time:4263:accelX: -0.40:accelY: -0.69:accelZ: -0.69
gyrolX: 74.40:GyroY: 37.23:gyroZ: 32.35

time:4372:accelX: 0.26:accelY: -0.77:accelZ: -0.91
gyrolX: -46.20:GyroY: -86.06:gyroZ: 110.84

time:4480:accelX: -0.13:accelY: -0.45:accelZ: -0.47
gyrolX: -8.91:GyroY: -21.42:gyroZ: 296.26

time:4589:accelX: 0.98:accelY: -0.40:accelZ: -0.33
gyrolX: 6.47:GyroY: -238.10:gyroZ: 354.68

time:4698:accelX: 1.62:accelY: -0.31:accelZ: 0.14
gyrolX: -19.71:GyroY: -169.07:gyroZ: 313.84

time:4806:accelX: 1.32:accelY: -0.39:accelZ: -0.54
gyrolX: 186.58:GyroY: -59.63:gyroZ: 93.93

time:4915:accelX: 0.97:accelY: -0.12:accelZ: -0.49
gyrolX: -148.01:GyroY: 42.30:gyroZ: -83.62

time:5024:accelX: 1.21:accelY: -0.37:accelZ: -0.31
gyrolX: -44.62:GyroY: 70.98:gyroZ: -133.42

time:5132:accelX: 1.48:accelY: -0.03:accelZ: -0.32
gyrolX: -43.21:GyroY: 79.04:gyroZ: -149.60

time:5242:accelX: 1.19:accelY: -0.15:accelZ: -0.08
gyrolX: -76.90:GyroY: 60.18:gyroZ: -202.33

time:5350:accelX: 0.71:accelY: -0.13:accelZ: -0.11
gyrolX: 78.12:GyroY: 24.72:gyroZ: -111.82

time:5570:accelX: 1.04:accelY: -0.21:accelZ: -0.48
